,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
185,추성주맛그래프,추성,주맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,,,
186,기다림 34 맛 그래프,기다림,34,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
187,그랑고또 레드와인 맛 그래프,그랑,고또,레드,와인,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,,
188,1932새싹땅콩 햅쌀막걸리 맛 그래프,1932,새싹,땅콩,햅쌀,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,
189,해미읍성 모과와인 밤 맛 그래프,해미읍,성,모과,와인,밤,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
190,청혼 블루 맛 그래프,청혼,블루,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교,ve,,,,,
191,청혼 화이트 맛 그래프,청혼,화이트,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교수,VE,,,,,
192,단맛,단맛,약함,신맛,약함,뉴트로,맛,그래프,강함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,",",NAVER,,,,,,,
193,한비 오가피술 맛 그래프,한비,오가피,술,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,
194,술그리다 생탁주 맛 그래프,술,그리다,생,탁주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
195,만강에 비친 달맛그래프,만강,에,비친,달맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
196,면천두견주 맛 그래프,면천,두견주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
197,모리 19도 맛 그래프,모리,19,도,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,이현주,소믈리에,VER,,,,,,,,,,,,
198,해미읍성 매실와인 맛 그래프,해미읍,성,매실,와인,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
199,맑은내일 스파클링 막걸리 시그니처 맛 그래프,맑은,내일,스파클링,막걸리,시그니처,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교,ve,,
200,서울효모방 탁주 단홍 맛 그래프,서울,효모,방,탁주,단홍,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,이현주,소믈리에,VER,,,,,,,,,,
201,안동소주일품 21 맛 그래프,안동,소주,일품,21,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
202,순향주 맛 그래프,순,향주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
203,쿨샷 7.5 맛 그래프,쿨샷,7.5,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
204,설궁 맛 그래프,설궁,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,,
205,백련생막걸리 Snow 맛그래프,백련,생,막걸리,Snow,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,
206,세종쌀막걸리 맛그래프,세종,쌀,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
207,천마몽 맛 그래프,천마,몽,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
208,화천용화산 맛 그래프,화천,용화산,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,김영우,소믈리에,VER,,,,,,,,,,,,,
209,머루이야기 맛 그래프,머루,이야기,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
210,화전일취 맛 그래프,화전,일취,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,이현주,소믈리에,VER,,,,,,,,,,,,,
211,g12 골디락스 맛 그래프,g12,골디락스,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,전진,아,",",이재욱,소믈리에,,,,,,,,,,,
212,자연담은 복분자막걸리 맛 그래프,자연,담은,복분자,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,
213,정고집 나주배 약주 9% 맛 그래프,정,고집,나주,배,약주,9,%,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,
214,오희 스파클링 막걸리 맛 그래프,오희,스파클링,막걸리,맛,그래프,단,맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
215,레돔 시드르 맛 그래프,레돔,시드,르,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,
216,포엠 레드 드라이와인 맛 그래프,포엠,레드,드라이,와인,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,NAVER,,,,,
217,고소리술 맛 그래프,고,소리,술,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,이현주,소믈리에,,,,,,,,,,,,,
218,동정춘 막걸리 맛 그래프,동정,춘,막걸리,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소자,,,,,,,,,,,
219,1932새싹땅콩 흑미막걸리 맛 그래프,1932,새싹,땅콩,흑미,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,
220,겨울소주 25 맛 그래프,겨울,소주,25,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소자,VER,,,,,,,,,,,,,
221,바랑 탁 맛 그래프,바랑,탁,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
222,지란지교 탁주 맛 그래프,지란지교,탁주,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,균형감,강함,강함,강함,무거움,출처,:,이대형,박사,VER,,,,,,,,,,,,,
223,충주 백주 맛 그래프,충주,백주,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,,,,,,,
224,양촌 여유 소주 맛 그래프,양촌,여유,소주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교수,VER,,,,
225,오미로제 프리미어와인 맛 그래프,오미,로제,프리미어,와인,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,
226,해창찹쌀생막걸리 맛그래프,해창,찹쌀,생,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,
227,헤베 애플사이더 맛 그래프,헤베,애플,사이더,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,레스토랑,주은,김주용,소믈리에,",",최정욱,와인,연구소,최정욱,소장,하려고,,,,
228,기다림 맑은술 맛 그래프,기다림,맑은,술,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,
229,병영소주 맛그래프,병영,소주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,,
230,술아 순곡주 맛 그래프,술아,순,곡주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,
231,홍삼명주 맛그래프,홍삼,명주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,바디감,낮음,높음,목넘김,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,,
232,한비 쌀소주 맛 그래프,한비,쌀,소주,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,
233,단맛,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,연천,아주,맛,그래프,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,,,,
234,자희향나비 생탁주맛그래프,자희,향,나비,생,탁주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
235,동학 1957 맛 그래프,동학,1957,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,,,,
236,샤토미소 레드 프리미엄 드라이 맛 그래프,샤토,미소,레드,프리미엄,드라이,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,
237,술아 매화주 맛 그래프,술아,매화주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,,
238,가평잣생막걸리 맛그래프,가평,잣생,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
239,경주 교동법주 맛 그래프,경주,교동,법주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교수,VER,,,,
240,선운산복분자주 맛 그래프,선운산,복분자주,맛,그래프,단맛,약함,신맛,약함,강함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,,
241,동해 동동주 맛 그래프,동해,동동주,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소자,VER,,,,,,,,,,,
242,청진주 맛 그래프,청,진주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
243,애석 맛 그래프,애석,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
244,문배술헤리티지23 맛 그래프,문배,술,헤리티지,23,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
245,입장탁주 맛 그래프,입장,탁주,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
246,청남대 블루베리 생막걸리 맛 그래프,청남대,블루,베리,생,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,:,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명우,대,,,,
247,편백숲 산소막걸리 딸기스파클링 맛 그래프,편백,숲,산소,막걸리,딸기,스파클링,맛,그래프,단맛,약함,신맛,약함,청량감,약함,강함,강함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,",",NAVER,,,,,,
248,이강주 (25%) 맛 그래프,이강주,(,25,%,),맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
249,너브내 로제 스파클링 맛 그래프,너,브내,로제,스파클링,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,레스토랑,주은,김주용,소믈리에,",",최정욱,와인,연구소,최정욱,소장,,,,
250,천마이야기 맛 그래프,천마,이야기,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
251,햇찹쌀이 하늘수 맛 그래프,햇,찹쌀,이,하늘,수,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,
252,소나무와학 맛 그래프,소나무,와,학,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,
253,다래와인 3004 맛 그래프,다래,와인,3004,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,
254,스타베리 오디와인 맛 그래프,스타,베리,오디,와인,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,
255,붉은원숭이 맛그래프,붉은,원숭이,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,,
256,추사 애플와인 맛 그래프,추사,애플,와인,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,
257,예담은 한산소곡화주 맛 그래프,예담,은,한산,소곡,화주,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
258,역전주 맛 그래프,역전,주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,이현주,소믈리에,VER,,,,,,,,,,,,,
259,호담 300 맛 그래프,호담,300,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
260,병영설성 동동주 맛 그래프,병영,설성,동동주,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소,VER,,,,,,,,,,
261,독산 53 맛 그래프,독산,53,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
262,단맛,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,우곡,생주,맛,그래프,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,,
263,김천과하주 23% 맛 그래프,김천,과하주,23,%,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
264,능이주 맛 그래프,능이,주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
265,독산30 맛 그래프,독산,30,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,이현주,소믈리에,VER,,,,,,,,,,,,,
266,여포의 꿈(레드 스위트) 맛 그래프,여포,의,꿈,(,레드,스위트,),맛,그래프,단맛,낮음,높음,신맛,낮음,높음,바디감,낮음,높음,목넘김,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,
267,무주구천동 머루와인 맛 그래프,무주,구천동,머루,와인,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,
268,희양산막걸리 15% 맛 그래프,희양산,막걸리,15,%,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,,,,,,,,,,
269,애피소드 애플 맛 그래프,애피소드,애플,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,,
270,매실막걸리 맛 그래프,매실,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
271,원매프리미엄 맛 그래프,원매,프리미엄,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
272,안동소주 느낌 30 맛 그래프,안동,소주,느낌,30,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,],AVER,,,,,,,,,,,
273,월매 쌀막걸리 맛 그래프,월매,쌀,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
274,문희 '문경오미자수제전통주 맛그래프,문희,',문경,오미자,수제,전통주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
275,시나브로 레드 드라이 맛 그래프,시나브로,레드,드라이,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,",",NAVER,,,,,,
276,미나리싱싱주 맛 그래프,미나리,싱싱,주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교,ve,,,,
277,그랑꼬또 M56 맛 그래프,그랑,꼬또,M56,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,
278,설레온 맛 그래프,설레,온,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
279,향,향,약함,맛,드라이,바디감,가벼움,이도,32,맛,그래프,강함,스위트,목넘김,부드러움,균형감,무거움,거침,출처,:,전진,아,",",이재욱,소믈리에,,,,,,,,,,,
280,모월로 맛 그래프,모월,로,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
281,홍로 맛 그래프,홍로,맛,그래프,향,약함,바디감,가벼움,강함,무거움,목넘김,부드러움,거침,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,NAVER,,,,,,,,,,,
282,배도가 로아40 옐로우 맛 그래프,배도,가,로아,40,옐로우,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
283,추사 로제 맛 그래프,추사,로제,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
284,녹파주 맛 그래프,녹,파주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전동주,갤러리,부관장,명욱,NAVER,,,,,,,,
285,일지춘 약주 맛 그래프,일지,춘,약주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교수,VER,,,,
286,석탄주 탁주 맛 그래프,석탄,주,탁주,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명움,VER,,,,,,,
287,고도리 청수 화이트와인 맛 그래프,고도리,청수,화이트,와인,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,레스토랑,주은,소속,김주용,소믈리에,",",최정욱,와인,연구소,최정욱,소장,",",NAVER,
288,코이버펑크 카베르네 소비뇽 맛 그래프,코이,버,펑크,카베르네,소비뇽,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,코이,버,펑크,",",NAVER,,,,,,,,,
289,1000억 막걸리 프리바이오 맛 그래프,1000,억,막걸리,프리,바이오,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,
290,오메락퍽 맛 그래프,오메,락퍽,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
291,두유노 맛 그래프,두,유노,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,,,,,,,
292,안동소주 필(Feel) 맛 그래프,안동,소주,필,(,Feel,),맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
293,신선주 증류주 맛 그래프,신선,주,증류주,맛,그래프,향,약함,강함,맛,드라이,스위트,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,농업,회사,법인,(,주,),신선,",",NAVER,,,,,,,
294,명가원 복분자술맛그래프,명가,원,복분자,술맛,그래프,단맛,낮음,높음,신맛,낮음,높음,바디감,낮음,높음,목넘김,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
295,산천어 생막걸리 맛 그래프,산천어,생,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교,ve,,,,
296,호담 산양산삼 막걸리 맛 그래프,호담,산양,산삼,막걸리,맛,그래프,단,맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
297,평창 머루주 맛 그래프,평창,머루주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
298,산막와인 화몽 드라이 레드 맛 그래프,산막,와인,화몽,드라이,레드,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,레스토랑,주은,김주용,소믈리에,",",최정욱,와인,연구소,최정욱,소장,,,
299,청산녹수 생탁주 맛 그래프,청산,녹수,생,탁주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
300,애피소드 호프 맛 그래프,애피소드,호프,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,,
301,안동소주일품 17 맛 그래프,안동,소주,일품,17,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
