,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
104,청송 얼음골 동동주 맛 그래프,청송,얼음골,동동주,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,
105,문경주조 오미자 생막걸리 맛그래프,문경,주조,오미자,생,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
106,내장산복분자주 맛 그래프,내장산,복분자주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,바디감,낮음,높음,목넘김,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,,
107,복분자음 맛 그래프,복분자,음,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
108,김포약주 맛 그래프,김포,약주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
109,천비향 약주 맛 그래프,천비,향,약주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,균형감,무거움,출처,:,이현주,소믈리에,,,,,,,,,,,,,
110,장홍삼 장수막걸리 맛 그래프,장홍삼,장수,막걸리,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,
111,마셔블랑 맛 그래프,마셔,블랑,맛,그래프,단맛,약함,신맛,약함,강함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,",",NAVER,,,,,,,
112,도구막걸리 맛 그래프,도구,막걸리,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,,
113,백운 복분자와인 맛 그래프,백운,복분자,와인,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,
114,동강더덕주 맛 그래프,동강,더덕주,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
