DrinkName,ModifiedDate,DrinkID,Alcoholic,Category,ImageUrlPath,Glass,IBA,Instruction,Ingredients,Measures
Bora Bora,2016-09-06 23:43:31,12572,Non Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball glass,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","[['Pineapple juice', 1], ['Passion fruit juice', 2], ['Lemon juice', 3], ['Grenadine', 4]]","[['10 cl ', 1], ['6 cl ', 2], ['1 cl ', 3], ['1 cl ', 4]]"
Boston Sidecar,2017-09-02 16:26:02,11128,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail glass,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[['Light rum', 1], ['Brandy', 2], ['Triple sec', 3], ['Lime', 4]]","[['3/4 oz ', 1], ['3/4 oz ', 2], ['3/4 oz ', 3], ['Juice of 1/2 ', 4]]"
Boston Sour,2017-09-02 16:28:20,11129,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey sour glass,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.","[['Blended whiskey', 1], ['Lemon', 2], ['Powdered sugar', 3], ['Egg white', 4], ['Lemon', 5], ['Cherry', 6]]","[['2 oz ', 1], ['Juice of 1/2 ', 2], ['1 tsp ', 3], ['1 ', 4], ['1 slice ', 5], ['1 ', 6]]"
Bourbon Sling,2017-09-02 16:31:00,11146,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball glass,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.","[['Sugar', 1], ['Water', 2], ['Lemon juice', 3], ['Bourbon', 4], ['Lemon peel', 5]]","[['1 tsp superfine ', 1], ['2 tsp ', 2], ['1 oz ', 3], ['2 oz ', 4], ['1 twist of ', 5]]"
Bourbon Sour,2017-09-02 16:31:58,11147,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey sour glass,,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.","[['Bourbon', 1], ['Lemon juice', 2], ['Sugar', 3], ['Orange', 4], ['Maraschino cherry', 5]]","[['2 oz ', 1], ['1 oz ', 2], ['1/2 tsp superfine ', 3], ['1 ', 4], ['1 ', 5]]"
Boxcar,2017-09-02 16:32:57,11149,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey sour glass,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","[['Gin', 1], ['Triple sec', 2], ['Lemon juice', 3], ['Grenadine', 4], ['Egg white', 5]]","[['1 1/2 oz ', 1], ['1 oz ', 2], ['1 tsp ', 3], ['1/2 tsp ', 4], ['1 ', 5]]"
Brain Fart,2017-09-02 23:01:42,17120,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch bowl,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,"[['Everclear', 1], ['Vodka', 2], ['Mountain Dew', 3], ['Surge', 4], ['Lemon juice', 5], ['Rum', 6]]","[['1 fifth ', 1], ['1 fifth Smirnoff red label ', 2], ['2 L ', 3], ['2 L ', 4], ['1 small bottle ', 5], ['1 pint ', 6]]"
Brainteaser,2016-04-28 18:54:26,13405,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.","[['Sambuca', 1], ['Erin Cream', 2], ['Advocaat', 3]]","[['30 ml white ', 1], ['30 ml ', 2], ['5 ml ', 3]]"
Bramble,2017-09-02 18:15:26,17210,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,New Era Drinks,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","[['Gin', 1], ['lemon juice', 2], ['Sugar syrup', 3], ['Creme de Mure', 4]]","[['4 cl', 1], ['1.5 cl', 2], ['1 cl', 3], ['1.5 cl', 4]]"
Brandon and Will's Coke Float,2016-09-01 09:39:45,16447,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer mug,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.","[['Vanilla ice-cream', 1], ['Coca-Cola', 2], ['Bourbon', 3]]","[['2 scoops ', 1], ['1 can ', 2], ['2 oz ', 3]]"
Brandy Alexander,2017-01-02 20:09:06,11016,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail glass,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"[['Brandy', 1], ['Creme de Cacao', 2], ['Light cream', 3], ['Nutmeg', 4]]","[['1 oz ', 1], ['1 oz white ', 2], ['1 oz ', 3]]"
Brandy Cobbler,2015-08-13 12:37:16,11157,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned glass,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.","[['Sugar', 1], ['Club soda', 2], ['Lemon', 3], ['Brandy', 4], ['Maraschino cherry', 5], ['Orange', 6]]","[['1 tsp superfine ', 1], ['3 oz ', 2], ['1 ', 3], ['2 oz ', 4], ['1 ', 5], ['1 ', 6]]"
Brandy Flip,2017-09-02 16:34:21,11164,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey sour glass,,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.","[['Brandy', 1], ['Egg', 2], ['Sugar', 3], ['Light cream', 4], ['Nutmeg', 5]]","[['2 oz ', 1], ['1 whole ', 2], ['1 tsp superfine ', 3], ['1/2 oz ', 4], ['1/8 tsp grated ', 5]]"
